Timestamp,Trading Date Time,Symbol,Price,Price Notation,Price Currency,Executed Shares,Notional Amount,Notional Currency,Execution Venue,Third Country Trading Venue,Publication Date Time,Trade ID,Transaction To Be Cleared,Market Mechanism,Trading Mode,Transaction Category,Negotiation Flag,Agency Cross Trade,Modification Indicator,Benchmark/Reference Indicator,Special Dividend,Off Book Automated,Price Discovery Process,Algorithmic Indicator,Pre-Trade Transparency Waiver,Portfolio Flag,Contingent Flag,Give-up Flag,Post-Trade Deferral Reason,Deferral Or Enrichment Type,Deferral Illiquid Instrument,Deferral Size Specific,Duplicative Indicator,Duplicative Across Jurisdiction,Intra-Group Indicator,Jurisdiction
15:01:41,2026-09-15T14:01:41.890054Z,NO0004822503,00000169.800000000,MONE,NOK,000000000299,00050770.200000000,NOK,BEUP,    ,2026-09-15T14:01:41.890054Z,0002C0008LOB,TRUE ,PA  ,OD  ,    ,    ,    ,    ,    ,    ,    ,    ,ALGO,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,EU
15:01:41,2026-09-15T14:01:41.931952Z,SE0000407991,00000056.700000000,MONE,SEK,000000000048,00002721.600000000,SEK,BEUP,    ,2026-09-15T14:01:41.931952Z,0002C0008LOC,TRUE ,PA  ,OD  ,    ,    ,    ,    ,    ,    ,    ,    ,ALGO,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,EU
15:01:42,2026-09-15T14:01:42.034165Z,CA5503721063,00000225.300000000,MONE,SEK,000000000026,00005857.800000000,SEK,BEUP,    ,2026-09-15T14:01:42.034165Z,0002C0008LOD,TRUE ,PA  ,OD  ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,EU
15:01:42,2026-09-15T14:01:42.050454Z,IT0005278236,00000006.262500000,MONE,EUR,000000000005,00000031.312500000,EUR,BEUP,    ,2026-09-15T14:01:42.050454Z,000290005QFY,TRUE ,PA  ,OD  ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,EU
15:01:42,2026-09-15T14:01:42.050787Z,DE000BAY0017,00000048.380000000,MONE,EUR,000000000024,00001161.120000000,EUR,CEUX,    ,2026-09-15T14:01:42.050787Z,0002700025G1,TRUE ,LB  ,CT  ,    ,    ,    ,    ,    ,    ,    ,    ,ALGO,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,EU
15:01:42,2026-09-15T14:01:42.057373Z,SE0007158829,00000050.400000000,MONE,SEK,000000000028,00001411.200000000,SEK,BEUP,    ,2026-09-15T14:01:42.057373Z,0002C0008LOE,TRUE ,PA  ,OD  ,    ,    ,    ,    ,    ,    ,    ,    ,ALGO,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,EU
15:01:42,2026-09-15T14:01:42.081211Z,SE0024171458,00000057.925000000,MONE,SEK,000000000003,00000173.775000000,SEK,BEUP,    ,2026-09-15T14:01:42.081211Z,0002C0008LOF,TRUE ,PA  ,OD  ,    ,    ,    ,    ,    ,    ,    ,    ,ALGO,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,EU
15:01:42,2026-09-15T14:01:42.108565Z,DE000BAY0017,00000048.390000000,MONE,EUR,000000000208,00010065.120000000,EUR,CEUX,    ,2026-09-15T14:01:42.108565Z,0002700025G2,TRUE ,LB  ,CT  ,    ,    ,    ,    ,    ,    ,    ,    ,ALGO,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,EU
15:01:42,2026-09-15T14:01:42.210758Z,NL0015001KT6,00000010.125000000,MONE,EUR,000000000012,00000121.500000000,EUR,BEUP,    ,2026-09-15T14:01:42.210758Z,000290005QFZ,TRUE ,PA  ,OD  ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,EU
15:01:42,2026-09-15T14:01:42.211847Z,NO0003921009,00000019.575000000,MONE,NOK,000000000149,00002916.675000000,NOK,BEUP,    ,2026-09-15T14:01:42.211847Z,0002C0008LOG,TRUE ,PA  ,OD  ,    ,    ,    ,    ,    ,    ,    ,    ,ALGO,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,EU
15:01:42,2026-09-15T14:01:42.215729Z,FR0012333284,00000094.100000000,MONE,EUR,000000000010,00000941.000000000,EUR,CEUX,    ,2026-09-15T14:01:42.215729Z,0002400026G8,TRUE ,LB  ,CT  ,    ,    ,    ,    ,    ,    ,    ,    ,ALGO,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,EU
15:01:42,2026-09-15T14:01:42.215729Z,FR0012333284,00000094.100000000,MONE,EUR,000000000002,00000188.200000000,EUR,CEUX,    ,2026-09-15T14:01:42.215729Z,0002400026G9,TRUE ,LB  ,CT  ,    ,    ,    ,    ,    ,    ,    ,    ,ALGO,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,EU
15:01:42,2026-09-15T14:01:42.226567Z,FR0010307819,00000134.125000000,MONE,EUR,000000000143,00019179.875000000,EUR,BEUP,    ,2026-09-15T14:01:42.226567Z,00025000371U,TRUE ,PA  ,OD  ,    ,    ,    ,    ,    ,    ,    ,    ,ALGO,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,EU
15:01:42,2026-09-15T14:01:42.239561Z,DE0006231004,00000054.990000000,MONE,EUR,000000000066,00003629.340000000,EUR,CEUX,    ,2026-09-15T14:01:42.239561Z,000280003IKZ,TRUE ,LB  ,CT  ,    ,    ,    ,    ,    ,    ,    ,    ,ALGO,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,EU
15:01:42,2026-09-15T14:01:42.368892Z,IT0005541336,00000027.035000000,MONE,EUR,000000000090,00002433.150000000,EUR,BEUP,    ,2026-09-15T14:01:42.368892Z,000290005QG0,TRUE ,PA  ,OD  ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,EU
15:01:42,2026-09-15T14:01:42.369253Z,NO0010816895,00000040.100000000,MONE,NOK,000000000060,00002406.000000000,NOK,CEUX,    ,2026-09-15T14:01:42.369253Z,0002C0008LOH,TRUE ,LB  ,CT  ,    ,    ,    ,    ,    ,    ,    ,    ,ALGO,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,EU
15:01:42,2026-09-15T14:01:42.393046Z,NO0010096985,00000422.900000000,MONE,NOK,000000000037,00015647.300000000,NOK,CEUX,    ,2026-09-15T14:01:42.393046Z,0002C0008LOI,TRUE ,LB  ,CT  ,    ,    ,    ,    ,    ,    ,    ,    ,ALGO,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,EU
15:01:42,2026-09-15T14:01:42.393067Z,NO0010096985,00000422.900000000,MONE,NOK,000000000100,00042290.000000000,NOK,CEUX,    ,2026-09-15T14:01:42.393067Z,0002C0008LOJ,TRUE ,LB  ,CT  ,    ,    ,    ,    ,    ,    ,    ,    ,ALGO,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,EU
15:01:42,2026-09-15T14:01:42.393073Z,NO0010096985,00000422.900000000,MONE,NOK,000000000055,00023259.500000000,NOK,CEUX,    ,2026-09-15T14:01:42.393073Z,0002C0008LOK,TRUE ,LB  ,CT  ,    ,    ,    ,    ,    ,    ,    ,    ,ALGO,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,EU
15:01:42,2026-09-15T14:01:42.393080Z,NO0010096985,00000423.000000000,MONE,NOK,000000000092,00038916.000000000,NOK,CEUX,    ,2026-09-15T14:01:42.393080Z,0002C0008LOL,TRUE ,LB  ,CT  ,    ,    ,    ,    ,    ,    ,    ,    ,ALGO,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,EU
